City,Country,Region,Latitude,Longitude,Population,PurchasingPower,Safety,HealthCare,CostOfLiving,PropertyToIncome,TrafficCommute,Pollution,Climate
Canberra,Australia,Oceania,-35.282,149.128684,356585,168.69,71.97,83.3,76.2,6.01,18.1,10.47,84.12
Adelaide,Australia,Oceania,-34.928621,138.599959,1251000,163.1,59.6,66.6,77.89,5.17,26.69,26.06,90.61
Zurich,Switzerland,Europe,47.376887,8.541694,378884,184.86,80.25,70.78,130.99,10.56,31.12,12.42,62.58
Edinburgh,United Kingdom,Europe,55.953252,-3.188267,495360,131.35,71.39,77.73,74.92,6.81,22.78,15.59,70.99
Munich,Germany,Europe,48.135125,11.581981,1388000,153.48,84.26,83.58,71.16,10.83,25.67,17.84,47.38
Melbourne,Australia,Oceania,-37.814107,144.96328,4087000,153.2,64.18,77.58,75.35,8.52,35.7,25.23,89.15
Wellington,New Zealand,Oceania,-41.28646,174.776236,204000,118.04,68.86,66.01,80.16,6.09,26.5,10.69,88.06
Victoria,Canada,Americas,48.428421,-123.365644,78055,131.38,63.5,72.9,68.57,5.65,30.2,13.44,77.22
Brisbane,Australia,Oceania,-27.471011,153.023449,2099000,140.66,63.87,79.53,76.52,7.74,42.56,21.25,84.31
Geneva,Switzerland,Europe,46.204391,6.143158,188634,181.03,64.49,68.92,129.07,9.96,22,27.92,73.48
Sacramento,United States,Americas,38.581572,-121.4944,479686,136.38,57.09,73.84,78.4,3.83,20,42.34,90.06
Trondheim,Norway,Europe,63.430515,10.395053,178021,113.74,79.81,81.36,108.05,7.92,18.89,11.01,55.41
Seattle,United States,Americas,47.606209,-122.332071,652405,147.45,59.54,73,83.22,5.89,35.4,26.39,71.92
Vienna,Austria,Europe,48.208174,16.373819,1741000,119.81,71.96,78.8,65.87,16.72,26.28,21.17,75.37
Copenhagen,Denmark,Europe,55.676097,12.568337,562379,126.12,73.22,77.34,89.28,7.68,28,27.21,67.66
Vancouver,Canada,Americas,49.282729,-123.120738,603500,121.65,61.11,70.36,65.01,11.32,40,22.6,91.32
San Diego,United States,Americas,32.715738,-117.161084,1356000,123.22,62.22,73.26,76.17,6.92,34.82,40.07,97.01
Perth,Australia,Oceania,-31.953513,115.857047,1834000,133.23,52.49,69.98,85.08,8.57,33.68,30.17,91.45
Minneapolis,United States,Americas,44.977753,-93.265011,400070,142.26,57.28,75.66,81.06,3.11,23.75,25.22,45.41
Ottawa,Canada,Americas,45.42153,-75.697193,883391,147.3,77.31,72.25,63.75,5.85,42.19,20.13,33.2
Hamilton,Canada,Americas,43.250021,-79.866091,519950,161.52,55.28,78.23,56.01,5.18,40.89,43.73,63.81
Boston,United States,Americas,42.360082,-71.05888,645966,124.49,60.13,79.02,84.7,7.56,34.71,24.94,72.07
Sydney,Australia,Oceania,-33.867487,151.20699,4293000,136.61,56.8,71.74,80.85,11.6,41.42,29.02,88.8
Cape Town,South Africa,Africa,-33.924869,18.424055,987007,126.85,28,73.61,34.18,4.46,42.65,32.77,96.23
Reykjavik,Iceland,Europe,64.126521,-21.817439,119289,97.14,74.6,76.26,96.99,5.69,19,15.48,49.69
Hamburg,Germany,Europe,53.551085,9.993682,1734000,151.98,51.37,75.45,72.18,8.69,32.91,31.07,59.85
Monterrey,Mexico,Americas,25.686614,-100.316113,1136000,167.35,48.61,56.62,39.08,2.82,27.46,55.12,65.86
Auckland,New Zealand,Oceania,-36.84846,174.763332,1377000,118.81,56.92,74.81,80.38,9.85,41.47,30.59,90.42
Calgary,Canada,Americas,51.048615,-114.070846,1097000,162.46,67.61,66.72,70.57,5.1,37.08,30.98,32.52
Denver,United States,Americas,39.739236,-104.990251,649495,127.51,65.67,83.48,78.17,4.81,41.67,33.32,57.58
Austin,United States,Americas,30.267153,-97.743061,885400,139.16,58.78,75.59,70.23,5.43,34.75,46.41,68.33
Amsterdam,Netherlands,Europe,52.370216,4.895168,779808,122.04,63.92,67.43,76.29,8.82,29.53,38.91,77
Portland,United States,Americas,45.523062,-122.676482,609456,121.98,52.5,55.94,80.04,4.65,30.53,21.56,68.67
Riyadh,Saudi Arabia,Asia,24.713552,46.675296,4087000,184.09,80.33,76.1,50.05,2.28,41.75,68.37,31.75
Stockholm,Sweden,Europe,59.329323,18.068581,789024,130.34,57.02,71.11,83.5,14.63,39.91,11.35,60.55
Helsinki,Finland,Europe,60.169856,24.938379,599676,129.76,68.67,75.43,79.61,10.17,31,21.42,39.4
Bursa,Turkey,Europe,40.188528,29.060964,1957000,80.74,73.22,78.78,43.58,3.94,40,25.71,57.45
Toronto,Canada,Americas,43.653226,-79.383184,2615000,138.99,66.39,68.98,65.86,9.78,43.73,44.56,71.65
Seoul,South Korea,Asia,37.566535,126.977969,10010000,116.87,85.72,81.54,78.33,16.64,31.44,35.35,53.67
Berlin,Germany,Europe,52.520007,13.404954,3502000,122.7,61.46,76.03,66.34,8.59,33.5,38.05,62.3
Phoenix,United States,Americas,33.448377,-112.074037,1513000,199.38,40.95,66.55,70.84,2.11,30,67.83,51.85
Thessaloniki,Greece,Europe,40.640063,22.944419,315196,82.69,68.85,75.81,52.04,6.15,22.83,57.92,89.81
Gdansk,Poland,Europe,54.352025,18.646638,460354,81.93,72.46,64.41,39.32,10.86,26.1,32.68,69.82
Lisbon,Portugal,Europe,38.722252,-9.139337,530847,76.2,65.18,68.56,50.87,12.09,35.85,34.41,96.14
Tallinn,Estonia,Europe,59.436961,24.753575,407947,78.76,73.79,67.43,50.52,11.38,20.27,17,44.42
Brno,Czech Republic,Europe,49.19506,16.606837,378327,93.74,70.14,71.99,41.65,9.67,26.31,43.27,62.06
Porto,Portugal,Europe,41.157944,-8.629105,230298,80.28,52.44,72.89,49.33,7.7,31,42.54,90.24
Edmonton,Canada,Americas,53.544389,-113.490927,812200,128.64,59.81,74.83,70.76,5.39,38,28.49,33.57
Ljubljana,Slovenia,Europe,46.056947,14.505751,272140,91.62,71.89,58.38,53,10.61,21.88,33,56.15
Montreal,Canada,Americas,45.501689,-73.567256,1650000,130.67,61.95,60.58,61.69,6.52,43.82,35.84,53.65
Atlanta,United States,Americas,33.748995,-84.387982,447841,139.39,35.99,71.21,75.7,3.4,36.42,55.12,79.66
Pretoria,South Africa,Africa,-25.747868,28.229271,692348,172.73,19.23,62.86,34.89,1.83,48.45,75.27,95.57
Madrid,Spain,Europe,40.416775,-3.70379,3165000,101.77,68.28,76.17,60.79,11.16,34.64,61.39,87.98
Cluj-napoca,Romania,Europe,46.77121,23.623635,303047,70.28,78.63,62.27,34.68,11.05,32.75,33.23,61.57
Timisoara,Romania,Europe,45.748872,21.208679,306462,67.5,76.8,58.79,33.16,10.68,16.88,51.93,75.2
Tokyo,Japan,Europe,35.709026,139.731992,13350000,113.5,79.7,77.73,85.09,25.97,48.52,34.86,80.29
San Francisco,United States,Americas,37.774929,-122.419416,837442,105.83,52.1,72.6,103.36,13.7,35.12,44.21,96.78
Prague,Czech Republic,Europe,50.075538,14.4378,1247000,90.61,68.95,71.67,43.1,12.78,37.53,42.09,65.56
Regina,Canada,Americas,50.445211,-104.618894,193100,148.44,54.53,63.29,67.17,3.74,30.56,35.85,15.16
Winnipeg,Canada,Americas,49.899754,-97.137494,663615,133.14,48.52,71.01,63.64,4.38,29.38,36.66,26.94
Oslo,Norway,Europe,59.913869,10.752245,618683,126.32,61.97,70.02,95.98,9.43,38.83,25.11,36.09
Izmir,Turkey,Europe,38.423734,27.142826,2848000,66.68,69.25,84.03,43.47,6.52,37.71,65.47,90.56
Taipei,Taiwan,Asia,25.032969,121.565418,2619000,126.06,80.25,86.29,56.67,26.02,26.42,43.37,32.93
Dublin,Ireland,Europe,53.349805,-6.26031,527612,120.17,45.59,48.18,80.34,9.86,35.73,32.7,71.38
Zagreb,Croatia,Europe,45.815011,15.981919,790017,70.89,68.53,63.75,48.97,12.26,33.7,37.61,71.58
Abu Dhabi,United Arab Emirates,Asia,24.295236,54.708749,613368,158.23,83.29,56.71,61.47,5.07,28.9,55.15,0.35
Barcelona,Spain,Europe,41.385064,2.173403,1602000,111.05,58.21,70.75,62.86,9.84,35.55,70.97,89.34
Los Angeles,United States,Americas,34.052234,-118.243685,3884000,127.13,45.76,65.37,77.78,9.02,36.73,70.79,96.14
Manchester,United Kingdom,Europe,53.480759,-2.242631,514417,99.03,47.59,73.23,84.8,7.64,38.82,43.56,75.16
Bratislava,Slovakia,Europe,48.148596,17.107748,414391,72.02,65.97,62.04,49.76,12.5,28.1,44.17,70.89
Chicago,United States,Americas,41.878114,-87.629798,2719000,127.65,32.75,63.79,85.14,4.27,40.17,39.28,61.04
Philadelphia,United States,Americas,39.952584,-75.165222,1553000,108.23,35.67,66.82,83.57,4.89,28.29,51.6,76.18
Novi Sad,Serbia,Europe,45.267135,19.83355,252459,56.05,50.06,49.54,33.24,13.08,18.67,38.74,84.16
Warsaw,Poland,Europe,52.229676,21.012229,1711000,85.41,73.67,61.57,40.75,12.37,36.6,53.16,63.39
Banja Luka,Bosnia And Herzegovina,Europe,44.772181,17.191,195692,60.43,69.38,50.14,34.59,12.14,24.4,51.41,77.96
Brussels,Belgium,Europe,50.85034,4.35171,177307,114.79,45.46,76.47,79.07,7.5,31,70.47,77.32
Tel Aviv-yafo,Israel,Asia,32.0853,34.781768,411800,92.22,68.57,76.41,81.06,18.9,42.33,51.53,80.9
Houston,United States,Americas,29.760427,-95.369803,2196000,138.45,40.66,66.76,75.19,3.28,38,69.72,62.62
Miami,United States,Americas,25.76168,-80.19179,417650,132.1,39.3,60.19,79.98,5.95,45.5,39.13,48.19
Durban,South Africa,Africa,-29.85868,31.02184,669242,119.96,20.1,43.22,33.35,3,38.7,53.61,76.76
Johannesburg,South Africa,Africa,-26.204103,28.047305,752349,130,16.64,60.3,37.58,2.97,44.82,73.68,92.2
Dubai,United Arab Emirates,Asia,25.204849,55.270783,2459000,129.65,77.16,59.69,70.12,5.57,32.68,58.11,8.36
Brasilia,Brazil,Americas,-15.794229,-47.882166,2481000,68.33,34.74,41.41,40.69,14.75,30.82,32.66,84.08
Wroclaw,Poland,Europe,51.107885,17.038538,631377,80.07,65.89,56.67,38.76,10.16,44.71,56.57,64.61
Vilnius,Lithuania,Europe,54.687156,25.279651,535216,62.2,62.03,69.22,46.75,13.16,29.89,25.44,24.42
Paris,France,Europe,48.856614,2.352222,2244000,112.52,45.93,74.8,81.61,17.99,37,64.75,78.46
Turin,Italy,Europe,45.070312,7.686856,870702,99.57,40.46,68.55,68.12,12.32,27.7,78.78,90.63
